amenity,name,lon,lat,capacity,parking,owner,coordinates
parking,City Parking,8.5354153,47.3757295,620.0,underground,,"(8.5354153 , 47.3757295)"
parking,Jelmoli Parkhaus,8.5365743,47.3738877,222.0,underground,Swiss Prime Site (SPS),"(8.5365743 , 47.3738877)"
parking,Parkhaus Urania,8.5410752,47.3740506,451.0,underground,,"(8.5410752 , 47.3740506)"
parking,Parkhaus Z체rich West,8.5102485,47.3919487,1000.0,multi-storey,,"(8.5102485 , 47.3919487)"
parking,Parkhaus Z체richhorn,8.5531163,47.3557489,65.0,underground,,"(8.5531163 , 47.3557489)"
parking,Parkhaus Feldegg,8.5536988,47.3603851,147.0,underground,,"(8.5536988 , 47.3603851)"
parking,Parkhaus R채mib체hl,8.5518084,47.372811,97.0,underground,,"(8.5518084 , 47.372811)"
parking,Parkhaus Stauffacher Tor,8.5308859,47.3730299,60.0,underground,,"(8.5308859 , 47.3730299)"
parking,Parkhaus Hardau II,8.5095822,47.3817056,113.0,underground,,"(8.5095822 , 47.3817056)"
parking,Parkhaus Irchel,8.5460911,47.3979665,588.0,underground,,"(8.5460911 , 47.3979665)"
parking,Parkhaus Hauptbahnhof,8.53761,47.3815048,176.0,multi-storey,,"(8.53761 , 47.3815048)"
parking,Octavo,8.5365541,47.4136523,123.0,underground,,"(8.5365541 , 47.4136523)"
parking,Accu,8.5405627,47.4148488,194.0,underground,,"(8.5405627 , 47.4148488)"
parking,Parkhaus Albisriederplatz,8.5081998,47.3794251,65.0,underground,,"(8.5081998 , 47.3794251)"
parking,Center Eleven,8.5402147,47.41285,342.0,underground,,"(8.5402147 , 47.41285)"
parking,Jungholz,8.5438928,47.4128458,124.0,multi-storey,,"(8.5438928 , 47.4128458)"
parking,Max-Bill-Platz,8.5388866,47.4142183,59.0,underground,,"(8.5388866 , 47.4142183)"
parking,Park Hyatt,8.5361401,47.3659315,267.0,underground,,"(8.5361401 , 47.3659315)"
parking,Parkhaus Hardturm,8.503417,47.3936534,59.0,surface,,"(8.503417 , 47.3936534)"
parking,Migros Albisrieden,8.4854735,47.3749317,100.0,underground,,"(8.4854735 , 47.3749317)"
parking,Parkhaus Quadro,8.5532128,47.4135813,100.0,underground,,"(8.5532128 , 47.4135813)"
parking,Parkhaus A-Park,8.4863939,47.3756023,74.0,underground,,"(8.4863939 , 47.3756023)"
parking,Cityport,8.5404271,47.4106887,153.0,underground,,"(8.5404271 , 47.4106887)"
parking,,8.5390689,47.3864863,237.0,underground,,"(8.5390689 , 47.3864863)"
