amenity,name,lon,lat,coordinates
school,Tagesschule Neubühl,8.533236,47.3326274,"(8.533236 , 47.3326274)"
school,Primarschule Neubühl,8.5326691,47.3325213,"(8.5326691 , 47.3325213)"
kindergarten,Kindergarten Fritschi,8.5128639,47.3755108,"(8.5128639 , 47.3755108)"
college,Berufsmaturitätsschule Zürich,8.5314358,47.3782925,"(8.5314358 , 47.3782925)"
school,Haus der Farbe,8.5345687,47.4113743,"(8.5345687 , 47.4113743)"
kindergarten,Kindergarten Waidfussweg I + II,8.5175519,47.3978137,"(8.5175519 , 47.3978137)"
kindergarten,Hort Glaubten 1 (Mittag-/Abendhort) + 4 (Mittaghort),8.5168515,47.4122559,"(8.5168515 , 47.4122559)"
college,Allgemeine Berufsschule Zürich,8.5367336,47.3829876,"(8.5367336 , 47.3829876)"
kindergarten,Kindergarten im Birch,8.5401231,47.4156831,"(8.5401231 , 47.4156831)"
kindergarten,Kindergarten Katzenbach I + II,8.5470656,47.4228706,"(8.5470656 , 47.4228706)"
kindergarten,Kindergarten Staudenbühl,8.5348321,47.4193027,"(8.5348321 , 47.4193027)"
kindergarten,Kinderkrippe Schnappi,8.5388817,47.4131857,"(8.5388817 , 47.4131857)"
kindergarten,GFZ Kindertagesstätte 5,8.5315296,47.382777,"(8.5315296 , 47.382777)"
kindergarten,Kindertagesstätte Regenbogen,8.5231009,47.3870012,"(8.5231009 , 47.3870012)"
school,Kinderreitschule,8.4807934,47.3734318,"(8.4807934 , 47.3734318)"
school,Rudolf Steiner Schule Zürich,8.5547829,47.3728111,"(8.5547829 , 47.3728111)"
kindergarten,Kindergarten Nordheim,8.5327779,47.4044723,"(8.5327779 , 47.4044723)"
kindergarten,Krippe Windrädli,8.5331137,47.4122726,"(8.5331137 , 47.4122726)"
kindergarten,Kindergarten Utogrund I + II,8.4971428,47.3801773,"(8.4971428 , 47.3801773)"
school,Klubschule Migros Oerlikon,8.5426205,47.4104775,"(8.5426205 , 47.4104775)"
kindergarten,Kindertagesstätte Käferhaus,8.5168875,47.398651,"(8.5168875 , 47.398651)"
kindergarten,Kinderkrippe Gummibärli,8.4955561,47.38098,"(8.4955561 , 47.38098)"
kindergarten,Kindergarten Tiefenbrunnen,8.5582271,47.3544008,"(8.5582271 , 47.3544008)"
kindergarten,"Morgentisch, Mittag-/Abendhort Tiefenbrunnen",8.5582277,47.354296,"(8.5582277 , 47.354296)"
college,Berufsfachschule für Lernende mit Hör- und Kommunikationsbehinderung (BSFH),8.5453343,47.4158872,"(8.5453343 , 47.4158872)"
kindergarten,"Morgentisch, Mittag-/Abendhort Albisrieden 2",8.5037805,47.3783853,"(8.5037805 , 47.3783853)"
kindergarten,Kinderhaus Bozza Stauffacher,8.5291927,47.3743295,"(8.5291927 , 47.3743295)"
kindergarten,Kinderkrippe Schneeflocke,8.5296882,47.3750593,"(8.5296882 , 47.3750593)"
school,Freie Evangelische Schule Zürich,8.5462762,47.3686105,"(8.5462762 , 47.3686105)"
kindergarten,Kita Tandem,8.5315592,47.3740902,"(8.5315592 , 47.3740902)"
school,Lernstudio Stüssistrasse,8.5407932,47.3925962,"(8.5407932 , 47.3925962)"
college,Interkantonale Hochschule für Heilpädagogik,8.5465683,47.4028415,"(8.5465683 , 47.4028415)"
kindergarten,Kindergarten Halde C1 + C2,8.5455301,47.4074875,"(8.5455301 , 47.4074875)"
kindergarten,Frida Krippe,8.5099036,47.3766061,"(8.5099036 , 47.3766061)"
kindergarten,Musische Kindertagesstätte MUKITA,8.5092146,47.3770792,"(8.5092146 , 47.3770792)"
kindergarten,Kindergarten Meiliweg 1 - 3,8.5171998,47.3675384,"(8.5171998 , 47.3675384)"
kindergarten,Kindergarten Bungertwies 1 + 2,8.5615422,47.3719098,"(8.5615422 , 47.3719098)"
kindergarten,Kindergarten Habsburgstrasse,8.5260414,47.3931826,"(8.5260414 , 47.3931826)"
school,Mittaghort Herzli-Träff,8.5731534,47.4077056,"(8.5731534 , 47.4077056)"
kindergarten,Krippe Schmetterling,8.4853629,47.3770122,"(8.4853629 , 47.3770122)"
kindergarten,Kindergarten Eugen-Huber-Strasse,8.4832253,47.3853557,"(8.4832253 , 47.3853557)"
kindergarten,Kindergarten Halde A1 + A2,8.5464342,47.4068282,"(8.5464342 , 47.4068282)"
kindergarten,Mittaghort Mittagstreff Liguster,8.5459241,47.4070277,"(8.5459241 , 47.4070277)"
school,Tagesschule Viso Parents,8.5444362,47.4071608,"(8.5444362 , 47.4071608)"
kindergarten,Kindergarten Ottikerweg I – III,8.5475629,47.3861943,"(8.5475629 , 47.3861943)"
college,Pädagogische Hochschule Zürich,8.5346312,47.3776709,"(8.5346312 , 47.3776709)"
kindergarten,Hort Glaubten 2 (Mittag-/Abendhort) + 3 (Morgentisch),8.5126125,47.412175,"(8.5126125 , 47.412175)"
kindergarten,Mittaghort Hofwiesenstrasse,8.537956,47.3925041,"(8.537956 , 47.3925041)"
college,Technikerschule HF Zürich,8.5323351,47.3778908,"(8.5323351 , 47.3778908)"
kindergarten,Kindergarten Gugolz,8.5120657,47.3826647,"(8.5120657 , 47.3826647)"
kindergarten,Kindergarten Vista Verde 1 +2,8.5161468,47.3246631,"(8.5161468 , 47.3246631)"
kindergarten,Kindergarten Bergacker I + II,8.5111977,47.4147485,"(8.5111977 , 47.4147485)"
kindergarten,Kindergarten Steinacker 1 + 2,8.6008743,47.3544531,"(8.6008743 , 47.3544531)"
school,Klubschule Migros Tanzwerk 101,8.5083708,47.3898235,"(8.5083708 , 47.3898235)"
kindergarten,Chinderhuus KribbelKrabbel,8.5018352,47.3855086,"(8.5018352 , 47.3855086)"
kindergarten,Kindergarten Milchbuck I – III,8.5370724,47.3962484,"(8.5370724 , 47.3962484)"
kindergarten,Kindergarten Zeppelinstrasse,8.5363104,47.3956589,"(8.5363104 , 47.3956589)"
kindergarten,Mittag-/Abendhort Wuhrstrasse,8.5203726,47.3683344,"(8.5203726 , 47.3683344)"
kindergarten,Mittag-/Abendhort Talwiesen 1 + 2,8.5160117,47.3647422,"(8.5160117 , 47.3647422)"
kindergarten,Kindergarten Talwiesen 1,8.5152262,47.3643591,"(8.5152262 , 47.3643591)"
kindergarten,Kindergarten Talwiesen 2,8.5154057,47.3642007,"(8.5154057 , 47.3642007)"
kindergarten,Mittag-/Abendhort Höfliweg,8.5098419,47.3686742,"(8.5098419 , 47.3686742)"
school,SBB Bildung,8.4933333,47.3897556,"(8.4933333 , 47.3897556)"
school,Login Berufsbildung,8.4930468,47.3898527,"(8.4930468 , 47.3898527)"
kindergarten,Chinderhuus BABAR,8.5587448,47.4162584,"(8.5587448 , 47.4162584)"
kindergarten,Kindergarten Zwirnerstrasse,8.5181423,47.3367369,"(8.5181423 , 47.3367369)"
kindergarten,Kindergarten Sihlbogen 1,8.5188153,47.3363978,"(8.5188153 , 47.3363978)"
university,"Universität Zürich, Oerlikon (AFL)",8.5402012,47.4107931,"(8.5402012 , 47.4107931)"
school,Atelierschule Zürich,8.5542538,47.3730363,"(8.5542538 , 47.3730363)"
kindergarten,Kindergarten Kosaken I + II,8.5494196,47.4167026,"(8.5494196 , 47.4167026)"
bus_station,Bus Station Zürich,8.5375652,47.3807429,"(8.5375652 , 47.3807429)"
kindergarten,Kindergarten Freilager I + II,8.4888119,47.3793405,"(8.4888119 , 47.3793405)"
kindergarten,Kita Fugu,8.4886009,47.3797104,"(8.4886009 , 47.3797104)"
kindergarten,Bambolina,8.5418645,47.4096169,"(8.5418645 , 47.4096169)"
kindergarten,Russischer Kindergarten,8.5463603,47.3824648,"(8.5463603 , 47.3824648)"
college,ZLI,8.4908351,47.3904717,"(8.4908351 , 47.3904717)"
kindergarten,Güxi,8.5136217,47.3770189,"(8.5136217 , 47.3770189)"
school,Brunau Stiftung,8.5209288,47.3598736,"(8.5209288 , 47.3598736)"
school,Klubschule Migros Altstetten,8.4917717,47.3917581,"(8.4917717 , 47.3917581)"
school,Klubschule Migros Limmatplatz,8.531279,47.3857517,"(8.531279 , 47.3857517)"
school,Schule Zürich Nord,8.5398625,47.4143549,"(8.5398625 , 47.4143549)"
kindergarten,Kindergarten Birmensdorferstrasse,8.499595,47.3675024,"(8.499595 , 47.3675024)"
kindergarten,Kindergarten Unterer Schweighof,8.5000595,47.3670399,"(8.5000595 , 47.3670399)"
kindergarten,Kindergarten Höfliweg 1 + 2,8.5097169,47.3692404,"(8.5097169 , 47.3692404)"
kindergarten,Kindergarten Döltschiweg 1 + 2,8.5040217,47.3658089,"(8.5040217 , 47.3658089)"
kindergarten,Kids & Co Kindertagesstätte Tiergarten,8.5133207,47.3663117,"(8.5133207 , 47.3663117)"
kindergarten,Kindergarten Sieber,8.5114853,47.364489,"(8.5114853 , 47.364489)"
kindergarten,Kindergarten Heinrich 143 A + B,8.5262516,47.3866448,"(8.5262516 , 47.3866448)"
kindergarten,Kindergarten Auzelg,8.5697231,47.4149232,"(8.5697231 , 47.4149232)"
college,ZHAW School of Engineering‎,8.5325937,47.3777293,"(8.5325937 , 47.3777293)"
kindergarten,GFZ Kindertagesstätte 4,8.5204341,47.3762382,"(8.5204341 , 47.3762382)"
school,IST Höhere Fachschule für Tourismus,8.5318509,47.3821347,"(8.5318509 , 47.3821347)"
kindergarten,Kindergarten Grütli 1 - 3,8.5309615,47.3600275,"(8.5309615 , 47.3600275)"
kindergarten,Kindergarten Obsthalden,8.5175339,47.4140484,"(8.5175339 , 47.4140484)"
kindergarten,Kindergarten Zehntenhaus I + II,8.5082544,47.4228814,"(8.5082544 , 47.4228814)"
kindergarten,Kindergarten Reckenholz I + II,8.5145189,47.4226621,"(8.5145189 , 47.4226621)"
kindergarten,Kindergarten Isengrind I + II,8.511882,47.4224471,"(8.511882 , 47.4224471)"
kindergarten,Kindergarten Riedenhalden I + II,8.5107778,47.4193957,"(8.5107778 , 47.4193957)"
kindergarten,Kindergarten Ruggächer I,8.5014175,47.4251176,"(8.5014175 , 47.4251176)"
kindergarten,Kindergarten Hungerberg,8.4998341,47.4192169,"(8.4998341 , 47.4192169)"
kindergarten,Kindergarten Holzerhurd,8.4956642,47.4238486,"(8.4956642 , 47.4238486)"
kindergarten,Kindergarten Furttal,8.4984834,47.4202464,"(8.4984834 , 47.4202464)"
kindergarten,Kindergarten Regina-Kägi-Hof II,8.5323641,47.4122668,"(8.5323641 , 47.4122668)"
kindergarten,Kindergarten Regina-Kägi-Hof I,8.5323859,47.4124167,"(8.5323859 , 47.4124167)"
kindergarten,Kindergarten Künzli,8.532206,47.407491,"(8.532206 , 47.407491)"
kindergarten,Kindergarten Holunderhof I + II,8.5283061,47.4108753,"(8.5283061 , 47.4108753)"
kindergarten,Kindergarten Kügeliloo,8.529445,47.4105347,"(8.529445 , 47.4105347)"
kindergarten,Kindergarten Holzmatt,8.5254143,47.4135723,"(8.5254143 , 47.4135723)"
kindergarten,Kindergarten Neunbrunnen Beta,8.5330325,47.4165345,"(8.5330325 , 47.4165345)"
kindergarten,Kindergarten Neunbrunnen Alpha,8.5319136,47.4163882,"(8.5319136 , 47.4163882)"
kindergarten,Kindergarten Arnikahof,8.5322805,47.4157558,"(8.5322805 , 47.4157558)"
kindergarten,Kindergarten Althoos I + II,8.5217559,47.4106982,"(8.5217559 , 47.4106982)"
kindergarten,Kindergarten Salvator I + II,8.5530978,47.4070893,"(8.5530978 , 47.4070893)"
kindergarten,Kindergarten Friedheim,8.5529231,47.4039082,"(8.5529231 , 47.4039082)"
kindergarten,Kindergarten Oerlikoner,8.5471512,47.4058461,"(8.5471512 , 47.4058461)"
kindergarten,Kindergarten Caspar Wüst I + II,8.5419368,47.4314623,"(8.5419368 , 47.4314623)"
kindergarten,Kindergarten Schönauring I + II,8.5386013,47.427438,"(8.5386013 , 47.427438)"
kindergarten,Kindergarten Eichrain,8.5468028,47.4300394,"(8.5468028 , 47.4300394)"
kindergarten,Kindergarten Kolbenacker I,8.5511144,47.4255049,"(8.5511144 , 47.4255049)"
kindergarten,Kindergarten Stiglen,8.5498731,47.4278284,"(8.5498731 , 47.4278284)"
kindergarten,Kindergarten Ettenfeld,8.553702,47.4250398,"(8.553702 , 47.4250398)"
kindergarten,Kindergarten Im Talbächli I + II,8.4696248,47.3881819,"(8.4696248 , 47.3881819)"
kindergarten,Kindergarten Am Suteracher,8.471045,47.3902574,"(8.471045 , 47.3902574)"
kindergarten,Kindergarten Winterthurerstrasse,8.5796743,47.4057363,"(8.5796743 , 47.4057363)"
kindergarten,Kindergarten Hirzenbach,8.5869225,47.4051075,"(8.5869225 , 47.4051075)"
kindergarten,Kindergarten Probstei I,8.5784621,47.4004401,"(8.5784621 , 47.4004401)"
kindergarten,Kindergarten Ahorn,8.5670399,47.4044285,"(8.5670399 , 47.4044285)"
kindergarten,Mittag-/Abendhort Luegisland 1-2,8.5745615,47.4087646,"(8.5745615 , 47.4087646)"
kindergarten,Kindergarten Luegislandstrasse,8.5689137,47.4087601,"(8.5689137 , 47.4087601)"
kindergarten,Kindergarten Auhof I + II,8.572155,47.4068372,"(8.572155 , 47.4068372)"
kindergarten,Kindergarten Schörlistrasse,8.5625971,47.4075598,"(8.5625971 , 47.4075598)"
kindergarten,Kindergarten Leutschenbach II,8.5605405,47.4137129,"(8.5605405 , 47.4137129)"
kindergarten,Kindergarten Auwiesenstrasse,8.5688297,47.4135882,"(8.5688297 , 47.4135882)"
kindergarten,Hardbrüggli,8.5152465,47.3874692,"(8.5152465 , 47.3874692)"
kindergarten,Kindergarten Hüslibach,8.5160176,47.3286845,"(8.5160176 , 47.3286845)"
kindergarten,Kindergarten Farenweg 1 + 2,8.5267739,47.3401145,"(8.5267739 , 47.3401145)"
kindergarten,Kindergarten und Hort Neubühl,8.5327401,47.333367,"(8.5327401 , 47.333367)"
university,"Universität Zürich, Oerlikon (BIN)",8.549618,47.4143683,"(8.549618 , 47.4143683)"
university,"Universität Zürich, Oerlikon (AND)",8.5487502,47.4131889,"(8.5487502 , 47.4131889)"
kindergarten,Mittaghort Pflegi,8.5623229,47.3684916,"(8.5623229 , 47.3684916)"
kindergarten,Kindergarten Freiestrasse,8.5586992,47.3665272,"(8.5586992 , 47.3665272)"
school,Kunst- und Sportschule Zürich,8.5401242,47.4156134,"(8.5401242 , 47.4156134)"
kindergarten,Mittag-/Abendhort Hammer,8.5641416,47.3599357,"(8.5641416 , 47.3599357)"
kindergarten,Kindergarten Hofacker Turnhaus,8.5648311,47.3627851,"(8.5648311 , 47.3627851)"
kindergarten,Kindergarten Hirslanden 1 + 2,8.5695357,47.3596686,"(8.5695357 , 47.3596686)"
school,Kunst- und Sportschule Zürich,8.559019,47.3556831,"(8.559019 , 47.3556831)"
kindergarten,"MittagstischGZ Riesbach, Mittag-/Abendhort Seefeld",8.5541163,47.359106,"(8.5541163 , 47.359106)"
kindergarten,Hort Lengg,8.573943,47.3541339,"(8.573943 , 47.3541339)"
kindergarten,Kindergarten Im Walder,8.5736445,47.3493569,"(8.5736445 , 47.3493569)"
kindergarten,Mittag-/Abendhort Vorderberg,8.5593676,47.3760901,"(8.5593676 , 47.3760901)"
kindergarten,Mittag-/Abendhort Fluntern 4,8.556625,47.3768942,"(8.556625 , 47.3768942)"
kindergarten,Kindergarten Krähbühl,8.5649056,47.3781047,"(8.5649056 , 47.3781047)"
kindergarten,Mittaghort Hillside,8.5588043,47.3682114,"(8.5588043 , 47.3682114)"
kindergarten,Kindergarten Neumarkt,8.546017,47.3725621,"(8.546017 , 47.3725621)"
kindergarten,Kindergarten Hirschengraben,8.5477878,47.3732791,"(8.5477878 , 47.3732791)"
kindergarten,"Morgentisch, Mittag-/Abendhort Witikon",8.591152,47.3590029,"(8.591152 , 47.3590029)"
kindergarten,Mittaghort Heilighüsli,8.5858745,47.3580544,"(8.5858745 , 47.3580544)"
kindergarten,Kindergarten Witikonerstrasse,8.5812154,47.359273,"(8.5812154 , 47.359273)"
kindergarten,Kindergarten Lehfrauenweg 1,8.5895992,47.3603243,"(8.5895992 , 47.3603243)"
kindergarten,Kindergarten Buchholz 1 + 2,8.5842231,47.360869,"(8.5842231 , 47.360869)"
kindergarten,Kinderhaus Bozza Lukashof,8.5261256,47.3787559,"(8.5261256 , 47.3787559)"
kindergarten,Kindergarten Im Herrlig 1 +2,8.4823846,47.3902555,"(8.4823846 , 47.3902555)"
college,Kantonale Berufsschule für Weiterbildung EB Zürich,8.5546105,47.3600321,"(8.5546105 , 47.3600321)"
school,Kantonale Maturitätsschule für Erwachsene,8.5542949,47.3603452,"(8.5542949 , 47.3603452)"
school,Freie Katholische Schule Wiedikon,8.5142694,47.3723075,"(8.5142694 , 47.3723075)"
school,Sprungbrett Montessori-Schule,8.5578231,47.3651941,"(8.5578231 , 47.3651941)"
kindergarten,Kindergarten St. Anton,8.5575789,47.3652855,"(8.5575789 , 47.3652855)"
school,Casa d'Italia,8.5189563,47.3800679,"(8.5189563 , 47.3800679)"
school,Jüdische Schule NOAM,8.5309988,47.3603173,"(8.5309988 , 47.3603173)"
school,Schule für Sehbehinderte,8.4860781,47.3849324,"(8.4860781 , 47.3849324)"
school,Heilpädagogische Schule Gotthelf,8.5203017,47.3684404,"(8.5203017 , 47.3684404)"
school,Talmud Toire Chajei Oilom,8.5275785,47.3662506,"(8.5275785 , 47.3662506)"
kindergarten,Kindergarten Goldacker I + II,8.4919806,47.3681993,"(8.4919806 , 47.3681993)"
kindergarten,Kindergarten Nordbrücke,8.5303507,47.3942118,"(8.5303507 , 47.3942118)"
kindergarten,Kindergarten Landenbergstrasse,8.5281502,47.3922729,"(8.5281502 , 47.3922729)"
kindergarten,Kindergarten Freilager III + IV,8.4892512,47.3779453,"(8.4892512 , 47.3779453)"
kindergarten,Kindergarten Waffenplatzstrasse,8.526823,47.3574313,"(8.526823 , 47.3574313)"
kindergarten,Kindergarten Erismannhof I + II,8.519763,47.3798073,"(8.519763 , 47.3798073)"
kindergarten,Kindergarten Gutstrasse I + II,8.5049458,47.3730131,"(8.5049458 , 47.3730131)"
kindergarten,Kindergarten Manegg I – III,8.5261731,47.3476015,"(8.5261731 , 47.3476015)"
kindergarten,Kindergarten Schwendenweg 1 + 2,8.5176233,47.3689244,"(8.5176233 , 47.3689244)"
kindergarten,Kindergarten Letzigraben I + II,8.5029733,47.3797215,"(8.5029733 , 47.3797215)"
kindergarten,Kindergarten Brahms 47,8.5058656,47.3784922,"(8.5058656 , 47.3784922)"
college,Zürcher Hochschule der Künste ZHdK,8.5116801,47.3909258,"(8.5116801 , 47.3909258)"
college,ZHAW Soziale Arbeit,8.5119137,47.3907659,"(8.5119137 , 47.3907659)"
college,ZHAW Angewandte Psychologie,8.5121474,47.3906059,"(8.5121474 , 47.3906059)"
college,Hochschule für Wirtschaft Zürich,8.5338134,47.3768539,"(8.5338134 , 47.3768539)"
