abkuerzung,bezeichnung,bis,fk_zaehler,richtung_in,richtung_out,von,easting,northing,easting_wgs,northing_wgs
VZS_BINZ,Binzmühlestrasse,2018-04-04T12:00:00,ECO09113500,Oerlikon,Glaubtenstrasse,2010-11-30T01:30:00,2681856.93,1251990.855,8.523286389,47.41364133
VZS_BUCH,Bucheggplatz,2019-03-13T12:00:00,ECO09113505,Hofwiesenstrasse,Höngg,2014-06-26T01:30:00,2682646.917,1250363.848,8.533452151,47.3989105
VZS_KLOW,Kloster-Fahr-Weg,2019-09-09T02:08:26,Y0412032046,Stadtgrenze,Innenstadt,2010-06-25T00:00:00,2679027.936,1250673.865,8.485571954,47.40214276
VZS_HOFW,Hofwiesenstrasse,2019-03-13T12:00:00,ECO09113507,Bucheggplatz,,2010-09-23T02:45:00,2682699.834,1250588.744,8.534194642,47.40092641
VZS_LIMB,"Limmatquai, Ri. Bellevue",2019-06-18T12:00:00,Y2G14045587,Bellevue,---,2014-06-25T00:00:00,2683446.897,1247062.835,8.543432508,47.3691225
VZS_LUXG,Lux-Guyer-Weg,2018-12-20T12:00:00,ECO09022739,Innenstadt,Wipkingen,2009-12-02T00:00:00,2682932.904,1248820.841,8.536954066,47.38499778
VZS_MILI,Militärbrücke,2019-09-09T02:08:26,Y2G13124879,Bahnhofstrasse,Langstrasse,2014-03-12T00:00:00,2682730.894,1247707.836,8.534073322,47.37501352
VZS_MYTH,Mythenquai,2018-12-21T12:00:00,ECO09113499,Innenstadt,Wollishofen,2010-07-14T03:00:00,2682872.887,1245890.836,8.535616911,47.35865468
VZS_MUEH,Mühlebachstrasse,2018-09-27T13:00:00,Y2G12102806,Bellevue,Riesbach,2010-09-23T02:30:00,2684005.903,1246565.835,8.550739312,47.36458177
VZS_ZOLL,Zollstrasse,2019-07-23T08:15:00,Y2G13124876,Sihlquai,Langstrasse,2014-03-11T00:00:00,2682945.898,1248224.838,8.537015655,47.37963608
VZS_TOED,Tödistrasse,2016-07-26T12:15:00,Y2G13124877,Seeufer,Hauptbahnhof,2014-03-11T00:00:00,2682880.89,1246548.835,8.535844611,47.36457133
VZS_TALS,Talstrasse,2019-09-09T02:08:26,Y2G13124878,Hauptbahnhof,Seeufer,2014-03-12T00:00:00,2682754.891,1247322.834,8.534319852,47.37154804
VZS_SCHU,Schulstrasse,2019-03-14T12:00:00,ECO10053914,Irchel,Bahnhof Oerlikon,2012-08-08T03:00:00,2683404.921,1251616.847,8.543725882,47.41008352
VZS_BINZ,Binzmühlestrasse,2018-09-29T00:00:00,ECO09113500,Oerlikon,Glaubtenstrasse,2018-04-10T12:00:00,2681856.93,1251990.855,8.523286389,47.41364133
VZS_ANDR,Andreasstrasse,2019-09-22T00:00:00,ECO07091438,Oerlikon,Wallisellen,2019-03-13T12:00:00,2684577.926,1251966.838,8.559332129,47.41308145
VZS_SCHU,Schulstrasse,2019-06-18T12:00:00,ECO06040592,Irchel,Bahnhof Oerlikon,2019-03-14T12:00:00,2683404.921,1251616.847,8.543725882,47.41008352
VZS_HOFW,Hofwiesenstrasse,2019-06-18T12:00:00,ECO07101504,Bucheggplatz,(null),2019-03-13T12:00:00,2682699.834,1250588.744,8.534194642,47.40092641
VZS_BINZ,Binzmühlestrasse,2019-06-18T12:00:00,ECO08011668,Oerlikon,Glaubtenstrasse,2019-03-14T12:00:00,2681856.93,1251990.855,8.523286389,47.41364133
VZS_ANDR,Andreasstrasse,2019-03-13T12:00:00,ECO09113502,Oerlikon,Wallisellen,2010-12-16T00:00:00,2684577.926,1251966.838,8.559332129,47.41308145
VZS_SIHL,Sihlpromenade,2018-12-21T12:00:00,ECO09113503,Innenstadt,Saalsporthalle,2010-07-14T00:00:00,2682374.89,1247054.837,8.529239885,47.36918545
VZS_BERT,Bertastrasse,2018-12-21T12:00:00,ECO09113506,Wiedikon,Aussersihl,2010-07-26T00:00:00,2681384.899,1247735.846,8.516258218,47.37543305
FZS_LETL,Lettenviadukt (Limmatstr.),2015-10-01T00:00:00,U15G3063869,Limmat,Gleisanlagen,2015-03-31T00:00:00,2682170.909,1249123.847,8.526919469,47.38781831
FZS_MYTH,Mythenquai Unterführung,2015-04-30T00:00:00,U15G3104443,Seeufer,Bhf. Wollishofen,2013-11-28T00:00:00,2682812.885,1245489.836,8.534748627,47.35505585
FZS_ARBO,Arboretum,2015-09-08T00:00:00,U15G3104446,Stadtgrenze,Innenstadt,2015-03-10T00:00:00,2682972.89,1246328.835,8.53702163,47.3625812
VZS_FISC,Fischerweg,2019-09-09T02:08:26,Y0410090357,Innenstadt,Stadtgrenze,2010-07-09T00:00:00,2678955.935,1250442.864,8.484577425,47.40007392
VZS_LIMC,"Limmatquai, Ri. Central",2019-09-09T02:08:26,Y2G14045586,Central,---,2014-06-25T00:00:00,2683456.897,1247064.835,8.543565259,47.36913922
FZS_HARD,Hardeggsteg,2016-03-31T00:00:00,U15G4025180,Kloster-Fahr-Weg,Hardturmstrasse,2015-10-01T00:00:00,2680438.925,1249929.857,8.504128372,47.39528081
FZS_ALTO,Altstetterstrasse Ost,2019-09-09T02:08:26,U15G3063866,Bhf. Altstetten,Lindenplatz,2015-10-01T00:00:00,2679189.926,1249435.86,8.487498515,47.39098944
VZS_HOFW,Hofwiesenstrasse,2019-09-09T02:08:26,ECO09113507,Bucheggplatz,,2019-06-18T12:00:00,2682699.932,1250588.798,8.534195949,47.40092689
VZS_SCHE,Scheuchzerstrasse,2018-12-20T00:00:00,ECO09113501,Innenstadt,Irchel,2010-09-23T00:00:00,2683572.899,1248544.836,8.545377225,47.3824347
FZS_MYTH,Mythenquai Unterführung,2016-04-04T00:00:00,U15G3104443,Seeufer,Bhf. Wollishofen,2015-10-07T00:00:00,2682812.885,1245489.836,8.534748627,47.35505585
FZS_ALTW,Altstetterstrasse West,2019-09-09T02:08:26,U15G3104445,Bhf. Altstetten,Lindenplatz,2015-10-16T00:00:00,2679173.926,1249437.86,8.487286973,47.39100935
FZS_INGA,In Gassen,2017-08-30T00:00:00,YPH15108550,Paradeplatz,Rathaus,2015-10-21T00:00:00,2683266.896,1247228.834,8.541080547,47.37063816
VZS_SAUM,Saumackerstrasse,2019-09-09T02:08:26,Y2G13124875,Uetliberg,Bahnhof Altstetten,2014-03-11T00:00:00,2679336.924,1249345.859,8.489429315,47.39016234
VZS_LANN,Langstrasse (Unterführung Nord),2017-07-11T00:00:00,Y2G12102807,Helvetiaplatz,Limmatplatz,2013-06-27T00:00:00,2682277.902,1248324.842,8.52818941,47.38061921
FZS_KATZ,Katzenbach,2015-10-01T00:00:00,U15G3104442,Affoltern,Seebach,2015-03-31T00:00:00,2681401.937,1253279.861,8.517492983,47.42529012
FZS_QUAN,Quaibrücke Nord (Limmatseite),2015-11-24T00:00:00,U15G3063868,Bellevue,Bürkliplatz,2013-08-23T00:00:00,2683403.248,1246821.134,8.542809657,47.36695432
VZS_LANS,Langstrasse (Unterführung Süd),2018-06-15T10:00:00,Y2H16039396,Helvetiaplatz,Limmatplatz,2018-04-23T14:00:00,2682359.889,1248448.233,8.529297694,47.38171866
FZS_LETL,Lettenviadukt (Limmatstr.),2016-09-30T00:00:00,U15G3063869,Limmat,Gleisanlagen,2016-03-30T00:00:00,2682170.909,1249123.847,8.526919469,47.38781831
FZS_HARD,Hardeggsteg,2014-03-20T00:00:00,U15G2092649,Kloster-Fahr-Weg,Hardturmstrasse,2013-11-28T00:00:00,2680438.925,1249929.857,8.504128372,47.39528081
FZS_ALTO,Altstetterstrasse Ost,2015-03-31T00:00:00,U15G3063866,Bhf. Altstetten,Lindenplatz,2013-11-28T00:00:00,2679189.926,1249435.86,8.487498515,47.39098944
FZS_ALTW,Altstetterstrasse West,2015-03-31T00:00:00,U15G3104445,Bhf. Altstetten,Lindenplatz,2013-11-28T00:00:00,2679173.926,1249437.86,8.487286973,47.39100935
FZS_CASS,Cassiopeiasteg,2015-10-07T00:00:00,U15G3104443,Stadtgrenze,Bellevue,2015-04-30T00:00:00,2683020.159,1244136.249,8.537240965,47.34285637
FZS_CHOR,Chorherrenweg,2015-10-01T00:00:00,U15G4025180,Limmat,Meierhofplatz,2015-03-31T00:00:00,2680001.933,1250595.859,8.498459768,47.40132364
FZS_HARD,Hardeggsteg,2015-03-31T00:00:00,U15G4025180,Kloster-Fahr-Weg,Hardturmstrasse,2014-03-20T00:00:00,2680438.925,1249929.857,8.504128372,47.39528081
FZS_INGA,In Gassen,2015-09-09T00:00:00,YPH14106664,Paradeplatz,Rathaus,2014-11-07T00:00:00,2683266.896,1247228.834,8.541080547,47.37063816
FZS_LETD,Letten / Dynamo,2015-03-31T00:00:00,U15G3063869,Limmatplatz,Hauptbahnhof,2014-07-10T00:00:00,2682977.903,1248743.84,8.537535657,47.38429962
FZS_LETD,Letten / Dynamo,2016-03-29T00:00:00,U15G3063869,Limmatplatz,Hauptbahnhof,2015-10-01T00:00:00,2682977.903,1248743.84,8.537535657,47.38429962
FZS_OHMO,Ohmstrasse Ost,2015-10-01T00:00:00,U15G3063866,Bhf. Oerlikon,Sternen Oerlikon,2015-03-31T00:00:00,2683559.922,1251681.846,8.545791498,47.41064842
FZS_OHMW,Ohmstrasse West,2015-09-25T00:00:00,U15G3104445,Bhf. Oerlikon,Sternen Oerlikon,2015-03-31T00:00:00,2683572.922,1251686.846,8.545964659,47.41069173
VZS_SCHU,Schulstrasse,2019-09-09T02:08:26,ECO10053914,Irchel,Bahnhof Oerlikon,2019-06-18T12:00:00,2683405.586,1251617.157,8.543734752,47.41008622
FZS_WEIN,Weinbergfussweg,2019-09-09T02:08:26,U15G3063872,Polyterrasse,Hauptbahnhof,2013-07-11T00:00:00,2683523.897,1248170.835,8.544658575,47.37907739
FZS_CHOR,Chorherrenweg,2016-09-30T00:00:00,U15G4025180,Limmat,Meierhofplatz,2016-04-01T00:00:00,2680001.933,1250595.859,8.498459768,47.40132364
FZS_INGA,In Gassen,2014-11-07T00:00:00,U15G3063871,Paradeplatz,Rathaus,2013-07-11T00:00:00,2683266.896,1247228.834,8.541080547,47.37063816
FZS_LANS,Langstrasse (Unterführung Süd),2019-09-09T02:08:26,U15G3104444,Gleisanlagen,Limmat,2015-03-10T00:00:00,2682358.949,1248455.991,8.52928668,47.38178856
FZS_LANN,Langstrasse (Unterführung Nord),2018-02-08T11:00:00,U15G3063870,Limmatplatz,Helvetiaplatz,2013-07-11T00:00:00,2682322.103,1248435.072,8.528794938,47.38160502
FZS_LIMM,Limmatquai,2018-10-01T00:00:00,U15G3063873,Rathaus,Seeufer,2013-07-11T00:00:00,2683436.897,1247198.835,8.543325475,47.37034687
FZS_MILI,Militärbrücke,2019-09-09T02:08:26,U15G3063864,Löwenplatz,Langstrasse,2013-07-11T00:00:00,2682688.895,1247734.837,8.533522269,47.37526162
FZS_ZEHN,Zehntenhausplatz Unterführung,2015-03-31T00:00:00,U15G3104442,Louis Conne Weg,In Böden,2013-11-28T00:00:00,2680576.937,1252580.867,8.506434068,47.41910536
FZS_ZEHN,Zehntenhausplatz Unterführung,2016-03-31T00:00:00,U15G3104442,Louis Conne Weg,In Böden,2015-10-01T00:00:00,2680576.937,1252580.867,8.506434068,47.41910536
FZS_QUAS,Quaibrücke Süd (Seeseite),2016-02-15T00:00:00,U15G3063867,Bellevue,Bürkliplatz,2013-08-23T00:00:00,2683407.481,1246794.676,8.542860767,47.36671584
FZS_KATZ,Katzenbach,2017-10-04T00:00:00,U15G3104442,Affoltern,Seebach,2017-04-11T00:00:00,2681401.937,1253279.861,8.517492983,47.42529012
VZS_LANN,Langstrasse (Unterführung Nord),2018-09-20T13:00:00,Y2G12102807,Helvetiaplatz,Limmatplatz,2017-09-08T00:00:00,2682277.902,1248324.842,8.52818941,47.38061921
VZS_LANN,Langstrasse (Unterführung Nord),2019-09-09T02:08:26,Y2H18106793,Helvetiaplatz,Limmatplatz,2018-10-30T00:00:00,2682277.902,1248324.842,8.52818941,47.38061921
VZS_BUCH,Bucheggplatz,2019-09-09T02:08:26,ECO07111527,Hofwiesenstrasse / Höngg,,2019-06-18T00:00:00,2682646.844,1250363.919,8.533451191,47.39891114
FZS_OHMW,Ohmstrasse West,2019-09-09T02:08:26,U15G3063867,Sternen Oerlikon,Bhf. Oerlikon,2016-09-02T00:00:00,2683561.042,1251702.988,8.545810288,47.41083841
FZS_LETD,Letten / Dynamo,2017-04-10T00:00:00,U15G3063869,Limmatplatz,Hauptbahnhof,2016-10-01T00:00:00,2682977.903,1248743.84,8.537535657,47.38429962
FZS_HARD,Hardeggsteg,2017-04-10T00:00:00,U15G4025180,Kloster-Fahr-Weg,Hardturmstrasse,2016-10-01T00:00:00,2680438.925,1249929.857,8.504128372,47.39528081
FZS_ZEHN,Zehntenhausplatz Unterführung,2017-04-10T00:00:00,U15G3104442,Louis Conne Weg,In Böden,2016-10-01T00:00:00,2680576.937,1252580.867,8.506434068,47.41910536
FZS_MYTH,Mythenquai Unterführung,2017-04-10T00:00:00,U15G3104443,Seeufer,Bhf. Wollishofen,2016-10-01T00:00:00,2682812.885,1245489.836,8.534748627,47.35505585
FZS_QUAS,Quaibrücke Süd (Seeseite),2017-03-13T00:00:00,YCH16039437,Bürkliplatz,Bellevue,2016-10-18T00:00:00,2683407.481,1246794.676,8.542860767,47.36671584
VZS_LANS,Langstrasse (Unterführung Süd),2017-10-02T00:00:00,Y2G13013264,Helvetiaplatz,Limmatplatz,2017-09-08T00:00:00,2682359.889,1248448.233,8.529297694,47.38171866
FZS_CHOR,Chorherrenweg,2018-10-01T15:00:00,U15G4025180,Limmat,Meierhofplatz,2018-04-09T12:00:00,2680001.933,1250595.859,8.498459768,47.40132364
FZS_LETL,Lettenviadukt (Limmatstr.),2018-10-01T15:30:00,U15G3063869,Limmat,Gleisanlagen,2018-04-09T12:00:00,2682170.909,1249123.847,8.526919469,47.38781831
VZS_MUEH,Mühlebachstrasse,2019-09-09T02:08:26,Y2H18106792,Bellevue,Riesbach,2018-10-31T00:00:00,2684005.903,1246565.835,8.550739312,47.36458177
VZS_BUCH,Bucheggplatz,2019-06-18T12:00:00,ECO07111527,Hofwiesenstrasse,Höngg,2019-03-13T12:00:00,2682646.917,1250363.848,8.533452151,47.3989105
FZS_CHOR,Chorherrenweg,2019-09-09T02:08:26,U15G3063873,Limmat,Meierhofplatz,2019-04-01T09:00:00,2680001.933,1250595.859,8.498459768,47.40132364
FZS_LETL,Lettenviadukt (Limmatstr.),2019-09-09T02:08:26,U15G3063869,Limmat,Gleisanlagen,2019-04-01T09:00:00,2682170.909,1249123.847,8.526919469,47.38781831
FZS_OHMW,Ohmstrasse West,2016-04-20T00:00:00,U15G3063865,Sternen Oerlikon,Bhf. Oerlikon,2016-04-02T00:00:00,2683559.922,1251681.846,8.545791498,47.41064842
FZS_OHMO,Ohmstrasse Ost,2019-09-09T02:08:26,U15G3104447,Bhf. Oerlikon,Sternen Oerlikon,2016-04-01T00:00:00,2683572.922,1251686.846,8.545964659,47.41069173
FZS_KATZ,Katzenbach,2016-09-30T00:00:00,U15G3104442,Affoltern,Seebach,2016-04-01T00:00:00,2681401.937,1253279.861,8.517492983,47.42529012
FZS_CASS,Cassiopeiasteg,2016-09-30T00:00:00,U15G3104443,Stadtgrenze,Bellevue,2016-04-05T00:00:00,2683020.159,1244136.249,8.537240965,47.34285637
VZS_TOED,Tödistrasse,2019-09-09T02:08:26,Y2G13124877,Seeufer,Hauptbahnhof,2017-05-22T00:00:00,2682880.89,1246548.835,8.535844611,47.36457133
FZS_LETD,Letten / Dynamo,2018-04-09T11:00:00,U15G3063869,Limmatplatz,Hauptbahnhof,2017-10-05T00:00:00,2682977.903,1248743.84,8.537535657,47.38429962
FZS_HARD,Hardeggsteg,2018-04-09T11:00:00,U15G4025180,Kloster-Fahr-Weg,Hardturmstrasse,2017-10-05T00:00:00,2680438.925,1249929.857,8.504128372,47.39528081
FZS_ZEHN,Zehntenhausplatz Unterführung,2019-09-09T02:08:26,U15G3104442,Louis Conne Weg,In Böden,2017-10-05T00:00:00,2680576.937,1252580.867,8.506434068,47.41910536
FZS_MYTH,Mythenquai Unterführung,2019-09-09T02:08:26,U15G3104443,Seeufer,Bhf. Wollishofen,2017-10-05T00:00:00,2682812.885,1245489.836,8.534748627,47.35505585
VZS_LANS,Langstrasse (Unterführung Süd),2017-09-08T00:00:00,Y2H16039396,Helvetiaplatz,Limmatplatz,2016-04-27T00:00:00,2682359.889,1248448.233,8.529297694,47.38171866
FZS_KLOE,Kloster-Fahr-Weg (Europabrücke),2019-09-09T02:08:26,U15G6121229,Werdinsel,Innenstadt,2017-01-13T00:00:00,2680048.93,1250303.859,8.499030022,47.39869186
FZS_CASS,Cassiopeiasteg,2019-09-09T02:08:26,U15G3104446,Stadtgrenze,Bellevue,2017-10-17T00:00:00,2683020.159,1244136.249,8.537240965,47.34285637
VZS_BINZ,Binzmühlestrasse,2019-03-14T12:00:00,ECO09113500,Oerlikon,Glaubtenstrasse,2018-10-10T00:00:00,2681856.93,1251990.855,8.523286389,47.41364133
VZS_LIMB,Limmatquai --> Bellevue,2019-09-09T02:08:26,Y2H19070585,Bellevue,,2019-08-09T00:00:00,2683447.351,1247062.591,8.543438467,47.36912026
FZS_ARBO,Arboretum,2019-09-09T02:08:26,U15G3063865,Stadtgrenze,Innenstadt,2016-07-21T11:00:00,2682972.89,1246328.835,8.53702163,47.3625812
VZS_LANS,Langstrasse (Unterführung Süd),2019-09-09T02:08:26,Y2H16039396,Limmatplatz,Helvetiaplatz,2018-06-26T13:00:00,2682295.903,1248311.13,8.528425241,47.38049365
VZS_BINZ,Binzmühlestrasse,2019-09-09T02:08:26,ECO09113500,Oerlikon,Glaubtenstrasse,2019-06-18T12:00:00,2681857.68,1251990.563,8.523296267,47.41363861
VZS_LANN,Langstrasse (Unterführung Nord),2017-09-08T00:00:00,Y2G13013264,Helvetiaplatz,Limmatplatz,2017-07-25T00:00:00,2682277.902,1248324.842,8.52818941,47.38061921
FZS_KATZ,Katzenbach,2019-09-09T02:08:26,YPH15108550,Affoltern,Seebach,2017-11-29T00:00:00,2681401.937,1253279.861,8.517492983,47.42529012
FZS_QUAN,Quaibrücke Nord (Limmatseite),2017-03-13T00:00:00,YCH16121210,Bellevue,Bürkliplatz,2017-01-13T00:00:00,2683403.248,1246821.134,8.542809657,47.36695432
FZS_LANN,Langstrasse (Unterführung Nord),2019-09-09T02:08:26,U15G3063870,Limmatplatz,Helvetiaplatz,2018-04-12T14:00:00,2682322.103,1248435.072,8.528794938,47.38160502
FZS_HARD,Hardeggsteg,2019-04-01T09:00:00,U15G3063873,Kloster-Fahr-Weg,Hardturmstrasse,2019-01-15T12:00:00,2680438.925,1249929.857,8.504128372,47.39528081
VZS_HARN,Hardbrücke Nord (Seite Altstetten),2019-09-09T02:08:26,Y2H16069942,Escher-Wyss-Platz,Hardplatz,2016-07-06T15:00:00,2681319.388,1248665.209,8.515559757,47.38379926
VZS_HARS,Hardbrücke Süd (Seite HB),2019-09-09T02:08:26,Y2H16069943,Escher-Wyss-Platz,Hardplatz,2016-07-06T15:00:00,2681338.967,1248646.688,8.515815651,47.38363028
FZS_LETL,Lettenviadukt (Limmatstr.),2017-10-04T00:00:00,U15G3063869,Limmat,Gleisanlagen,2017-04-10T00:00:00,2682170.909,1249123.847,8.526919469,47.38781831
FZS_CASS,Cassiopeiasteg,2017-10-04T00:00:00,U15G3104443,Stadtgrenze,Bellevue,2017-04-11T00:00:00,2683020.159,1244136.249,8.537240965,47.34285637
FZS_CHOR,Chorherrenweg,2017-10-04T00:00:00,U15G4025180,Limmat,Meierhofplatz,2017-04-11T00:00:00,2680001.933,1250595.859,8.498459768,47.40132364
VZS_LANS,Langstrasse (Unterführung Süd),2018-03-26T09:00:00,Y2H16039396,Helvetiaplatz,Limmatplatz,2017-10-03T00:00:00,2682359.889,1248448.233,8.529297694,47.38171866
FZS_HARD,Hardeggsteg,2019-01-15T12:00:00,U15G4025180,Kloster-Fahr-Weg,Hardturmstrasse,2018-10-01T15:00:00,2680438.925,1249929.857,8.504128372,47.39528081
FZS_LIMM,Limmatquai,2019-09-09T02:08:26,YSH18065716,Rathaus,Seeufer,2018-10-01T00:00:00,2683436.897,1247198.835,8.543325475,47.37034687
FZS_LETD,Letten / Dynamo,2019-04-01T09:00:00,U15G3063869,Limmatplatz,Hauptbahnhof,2018-10-01T00:00:00,2682977.903,1248743.84,8.537535657,47.38429962
VZS_LUXG,Lux-Guyer-Weg,2019-03-07T12:00:00,ECO08011668,Innenstadt,Wipkingen,2018-12-20T12:00:00,2682932.904,1248820.841,8.536954066,47.38499778
VZS_SCHE,Scheuchzerstrasse,2019-03-07T12:00:00,ECO06040592,Innenstadt,Irchel,2018-12-20T12:00:00,2683572.899,1248544.836,8.545377225,47.3824347
VZS_MYTH,Mythenquai,2019-03-07T12:00:00,ECO07091438,Innenstadt,Wollishofen,2018-12-21T12:00:00,2682872.887,1245890.836,8.535616911,47.35865468
VZS_BERT,Bertastrasse,2019-03-08T12:00:00,ECO07111527,Wiedikon,Aussersihl,2018-12-21T12:00:00,2681384.899,1247735.846,8.516258218,47.37543305
VZS_SIHL,Sihlpromenade,2019-03-08T12:00:00,ECO07101504,Innenstadt,Saalsporthalle,2018-12-21T12:00:00,2682374.89,1247054.837,8.529239885,47.36918545
VZS_BERT,Bertastrasse,2019-09-09T02:08:26,ECO09113506,Wiedikon,Aussersihl,2019-03-08T12:00:00,2681384.899,1247735.846,8.516258218,47.37543305
VZS_SIHL,Sihlpromenade,2019-09-09T02:08:26,ECO09113503,Innenstadt,Saalsporthalle,2019-03-08T12:00:00,2682374.89,1247054.837,8.529239885,47.36918545
VZS_SCHE,Scheuchzerstrasse,2019-07-03T12:00:00,ECO09113501,Innenstadt,Irchel,2019-03-07T12:00:00,2683572.899,1248544.836,8.545377225,47.3824347
VZS_LUXG,Lux-Guyer-Weg,2019-09-09T02:08:26,ECO09022739,Innenstadt,Wipkingen,2019-03-07T12:00:00,2682932.904,1248820.841,8.536954066,47.38499778
VZS_MYTH,Mythenquai,2019-09-09T02:08:26,ECO09113499,Innenstadt,Wollishofen,2019-03-07T12:00:00,2682872.887,1245890.836,8.535616911,47.35865468
VZS_ZOLL,Zollstrasse,2019-09-09T02:08:26,Y2H19070283,Langstrasse,Sihlquai,2019-07-23T08:15:00,2682944.768,1248225.036,8.537000727,47.37963801
